Profession,Income,Credit_card_number,Expiry,Security_code,Fraud
ENGINEER,26496,4813325639913961,05/28,120,0
DOCTOR,10372,3593942698048923,03/25,947,1
ENGINEER,26953,374021058407416,11/33,5079,0
LAWYER,57744,4664429488953795,10/28,0,1
DOCTOR,80642,30512511581041,01/29,323,0
DOCTOR,31370,4880174078938107,02/27,2905,1
ENGINEER,46728,6011222066157292,12/32,389,0
LAWYER,80677,180039440000560,03/32,607,0
ENGINEER,76416,3501619168661911,12/28,6079,1
ENGINEER,53387,4152012706465286,03/29,8,0
ENGINEER,1088,4802036676519131,09/34,451,1
ENGINEER,36883,376386216650027,08/26,429,0
LAWYER,8494,4603630405825081,01/32,312,1
ENGINEER,17597,4828610292682,02/32,907,0
LAWYER,48497,30522465797139,03/34,328,1
DOCTOR,9704,6011986968484802,03/25,503,0
DOCTOR,7181,213176129423852,05/34,628,0
DOCTOR,53764,630491294363,03/28,739,1
LAWYER,26375,4267458412849,02/26,994,0
ENGINEER,31476,213152337376901,06/27,381,0
LAWYER,57380,3560713080573979,02/31,86,1
DOCTOR,14757,3563823082653013,10/25,852,1
DOCTOR,81197,348391504636659,03/31,180,1
LAWYER,13497,4465810944041385,03/30,193,1
LAWYER,19204,4711633310713188932,05/30,3416,0
ENGINEER,46543,4526546698892711971,04/34,591,1
ENGINEER,95753,3532597970381261,01/33,701,0
DOCTOR,30115,36947763325990,03/33,3736,1
ENGINEER,22915,6011854656459017,06/25,958,0
DOCTOR,45906,4208390968214921,02/31,918,1
DOCTOR,55645,5124330088994224,04/26,268,0
DOCTOR,22511,4813177974195,06/26,988,1
DOCTOR,84240,4254963803250251,02/31,101,0
ENGINEER,78289,4561583219526744,01/34,435,1
DOCTOR,52236,676377892564,01/33,737,0
DOCTOR,72426,4643525435122149278,08/25,627,1
LAWYER,71887,4137693376762,07/34,110,0
LAWYER,52054,4477806271660,10/27,854,0
ENGINEER,21481,3565463460332498,07/25,58,1
ENGINEER,45660,5127642381158423,12/26,420,0
DOCTOR,10777,3565428691761807,04/29,397,0
LAWYER,17071,180099073476156,01/25,823,1
ENGINEER,69716,6567370375957593,04/26,1092,0
LAWYER,32226,30077042961682,07/29,808,0
DOCTOR,94507,4090621316061783,10/25,451,1
ENGINEER,97994,4.09E+15,04/30,172,0
ENGINEER,36667,3572579767980514,12/26,821,1
LAWYER,55791,3539934661765044,10/26,891,1
DOCTOR,11771,4104571212881504985,02/26,696,1
ENGINEER,2760,180069397356913,05/30,794,1
LAWYER,54373,6588697949332191,03/32,624,0
LAWYER,4622,6011673343661425,01/31,684,1
DOCTOR,56530,180032930390906,04/28,981,0
LAWYER,79089,372932267239402,03/26,25,0
DOCTOR,38147,569200930174,06/33,327,1
DOCTOR,28657,4.44E+15,07/31,484,1
LAWYER,13724,6011122993429808,04/33,841,0
ENGINEER,48878,3539544471718941,04/33,9,1
LAWYER,49531,36001784647865,08/31,165,1
LAWYER,966,630460813292,02/30,671,1
ENGINEER,76369,4.54E+15,10/25,879,0
DOCTOR,65156,213186085004109,12/31,406,0
DOCTOR,70325,4733339043577731,05/32,271,0
ENGINEER,16684,6546217357258753,06/33,245,0
DOCTOR,76281,2458623848776615,08/25,446,0
DOCTOR,7929,4047991017196541,05/31,186,1
ENGINEER,94994,4450697668902844989,11/24,81,0
DOCTOR,8015,377666928852303,03/32,239,1
ENGINEER,76149,3566442261829661,07/30,68,0
DOCTOR,90066,3.57E+15,12/29,6124,0
DOCTOR,1713,3.59E+15,07/34,938,0
LAWYER,91673,3574594498182775,09/30,89,1
ENGINEER,5044,4900782350715113882,08/28,4127,1
DOCTOR,15062,4299342860517422,12/29,908,1
LAWYER,43099,3573492402161616,04/33,867,1
LAWYER,13764,6528310552888763,06/28,385,1
LAWYER,69934,2720456296310047,11/28,221,1
DOCTOR,95730,3510522195046859,07/27,802,0
DOCTOR,61112,3554958282893877,06/25,876,1
ENGINEER,23457,4733735590552524,03/27,221,0
DOCTOR,63591,4843094547657433,07/32,9043,1
LAWYER,99728,5170516895788139,07/26,694,1
DOCTOR,60303,501891228964,09/32,897,0
DOCTOR,51273,342068980932341,03/25,829,0
DOCTOR,83792,4297548277878,06/27,676,1
DOCTOR,64905,3.51E+15,10/28,747,1
LAWYER,98375,340392243663549,06/31,981,0
ENGINEER,93862,568750525079,10/34,318,1
DOCTOR,58580,3531829306487681,02/29,779,0
LAWYER,53542,4984166771936151,10/27,935,0
DOCTOR,50674,4176583855826876,12/26,179,1
LAWYER,51020,5330762795677223,09/27,843,1
LAWYER,17534,30018328917287,09/26,698,0
DOCTOR,99151,675964045404,01/27,19,0
LAWYER,98581,4326636204962424235,08/25,677,1
DOCTOR,83211,4618189817763754616,11/27,844,1
DOCTOR,72227,4863174480852,12/29,933,0
ENGINEER,55878,4300834141756792,01/28,943,0
DOCTOR,98905,4808340961012,12/30,822,1
DOCTOR,15850,343257262760731,09/29,676,1
ENGINEER,87271,6.51E+15,12/30,631,1
ENGINEER,85199,4521587249682,07/30,205,1
DOCTOR,61090,4606235827334,01/25,73,1
ENGINEER,55965,4856569030043,07/34,149,1
DOCTOR,890,30054638400318,08/28,915,0
ENGINEER,75254,342742397480819,07/27,916,1
ENGINEER,7844,503881065232,12/24,989,1
ENGINEER,306,4369014560581264,01/31,712,1
ENGINEER,97953,30445495635097,04/27,649,0
LAWYER,15229,180081349692212,07/34,894,1
LAWYER,25463,2249906852340244,02/32,773,1
ENGINEER,57036,375253164610273,03/27,14,1
LAWYER,42515,3563367205300201,10/31,153,1
DOCTOR,56498,213126173192663,10/31,825,1
ENGINEER,11497,6011011040320302,10/29,534,1
DOCTOR,32427,6011097023993884,11/26,129,1
ENGINEER,1317,3570549712269976,11/33,399,1
ENGINEER,82829,38923628734500,07/31,140,1
LAWYER,75507,180041945729156,09/31,355,1
ENGINEER,12890,4202902079835679,10/26,488,0
DOCTOR,81227,30431588803214,06/34,630,1
LAWYER,24666,4220789051745,07/34,335,0
LAWYER,79391,5535688979374829,02/25,917,0
ENGINEER,85988,30041951660263,12/26,921,0
LAWYER,99114,4560010714144,02/29,948,1
ENGINEER,26615,180052192972316,10/25,3551,1
ENGINEER,57654,3.51E+15,09/29,522,1
